星系名称,总重子质量(M⊙),η((km/s)²),r0(kpc),r1(kpc),alpha,beta,拟合优度R²,是否有效拟合
NGC4214,1.45e+09,1.12e+04,2.952,3.0,1.2,0.2,0.466,否
NGC4217,9.18e+10,2.18e+04,100.000,10000.0,1.2,0.2,-2.361,否
NGC4389,2.49e+10,1.00e+02,100.000,0.1,1.2,0.2,-3.375,否
NGC4559,3.37e+10,6.88e+04,100.000,10000.0,1.2,0.2,0.671,否
NGC5005,2.01e+11,1.00e+02,100.000,0.1,1.2,0.2,-12.169,否
NGC5033,1.33e+11,8.16e+04,56.117,56.1,1.2,0.2,-8.160,否
NGC5055,1.74e+11,5.02e+04,100.000,10000.0,1.2,0.2,-8.871,否
NGC5371,3.83e+11,1.00e+02,100.000,0.1,1.2,0.2,-7.589,否
NGC5585,5.79e+09,1.11e+05,100.000,236.3,1.2,0.2,0.904,否
NGC5907,2.33e+11,9.47e+04,100.000,10000.0,1.2,0.2,-0.295,否
NGC5985,2.91e+11,1.84e+05,9.832,0.1,1.2,0.2,0.398,否
NGC6015,4.31e+10,7.20e+04,52.982,53.1,1.2,0.2,0.914,是
NGC6195,4.33e+11,1.00e+02,100.000,0.1,1.2,0.2,-6.486,否
NGC6503,1.65e+10,3.48e+04,31.804,31.8,1.2,0.2,-0.713,否
NGC6674,2.56e+11,5.08e+04,16.276,10000.0,1.2,0.2,0.805,否
NGC6946,7.73e+10,3.96e+04,100.000,10000.0,1.2,0.2,-2.320,否
NGC7331,2.86e+11,4.86e+04,100.000,10000.0,1.2,0.2,-74.572,否
NGC7793,9.95e+09,9.68e+04,100.000,10000.0,1.2,0.2,0.932,否
NGC7814,8.00e+10,2.55e+05,100.000,10000.0,1.2,0.2,-3.607,否
PGC51017,3.48e+08,1.00e+02,100.000,0.1,1.2,0.2,-28.621,否
UGC00128,2.79e+10,1.68e+04,6.713,597.9,1.2,0.2,0.958,是
UGC00191,5.00e+09,8.82e+03,3.652,3.7,1.2,0.2,0.931,是
UGC00731,3.66e+09,7.60e+03,3.206,3.2,1.2,0.2,0.975,是
UGC00891,1.23e+09,2.47e+04,29.896,29.9,1.2,0.2,0.928,是
UGC01230,2.16e+10,1.45e+04,2.738,2.7,1.2,0.2,0.773,是
UGC01281,8.71e+08,2.27e+04,22.287,22.3,1.2,0.2,0.938,是
UGC02023,1.51e+09,5.78e+04,100.000,10000.0,1.2,0.2,0.808,否
UGC02259,3.38e+09,8.89e+03,2.983,10000.0,1.2,0.2,0.874,否
UGC02455,4.82e+09,1.00e+02,100.000,0.1,1.2,0.2,-5.445,否
UGC02487,5.47e+11,1.43e+05,25.595,25.6,1.2,0.2,0.856,是
UGC02885,5.80e+11,1.50e+05,100.000,10000.0,1.2,0.2,-0.194,否
UGC02916,1.80e+11,6.12e+04,100.000,10000.0,1.2,0.2,-14.641,否
UGC02953,2.77e+11,1.63e+05,100.000,10000.0,1.2,0.2,-1.240,否
UGC03205,1.34e+11,1.32e+05,100.000,10000.0,1.2,0.2,0.771,否
UGC03546,1.10e+11,8.36e+04,100.000,10000.0,1.2,0.2,-13.125,否
UGC03580,2.13e+10,8.24e+04,100.000,10000.0,1.2,0.2,-1.365,否
