星系名称,总重子质量(M⊙),η((km/s)²),r0(kpc),alpha,r1(kpc),beta,拟合优度R²
NGC4559,3.37e+10,5.80e+04,26.601,2.00,26.6,0.50,0.731
NGC5005,2.01e+11,1.00e+02,100.000,2.00,0.1,0.50,-12.169
NGC5033,1.33e+11,1.07e+05,24.182,2.00,24.2,0.50,-7.715
NGC5055,1.74e+11,1.45e+05,100.000,2.00,10000.0,0.05,-8.384
NGC5371,3.83e+11,1.00e+02,100.000,2.00,0.1,0.50,-7.587
NGC5585,5.79e+09,3.67e+04,10.764,2.00,10.8,0.50,0.929
NGC5907,2.33e+11,1.04e+05,100.000,1.27,10000.0,0.05,-0.250
NGC5985,2.91e+11,6.90e+04,6.996,1.00,0.1,0.05,0.445
NGC6015,4.31e+10,8.64e+04,21.299,2.00,21.3,0.50,0.917
NGC6195,4.33e+11,1.00e+02,100.000,2.00,0.1,0.50,-6.485
NGC6503,1.65e+10,4.50e+04,13.777,2.00,13.8,0.50,-0.494
NGC6674,2.56e+11,5.38e+04,24.484,1.00,10000.0,0.05,0.811
NGC6946,7.73e+10,2.16e+05,100.000,2.00,10000.0,0.05,-2.113
NGC7331,2.86e+11,2.04e+05,100.000,2.00,10000.0,0.05,-72.100
NGC7793,9.95e+09,4.60e+04,14.272,2.00,14.3,0.50,0.941
NGC7814,8.00e+10,1.90e+05,23.423,2.00,23.4,0.50,-3.338
PGC51017,3.48e+08,1.00e+02,100.000,2.00,0.1,0.50,-28.547
UGC00128,2.79e+10,1.63e+04,7.415,1.00,10000.0,0.05,0.934
UGC00191,5.00e+09,1.02e+04,1.775,2.00,1.8,0.25,0.956
UGC00731,3.66e+09,1.43e+04,2.894,2.00,2.9,0.50,0.995
UGC00891,1.23e+09,2.05e+04,8.137,2.00,8.1,0.50,0.970
UGC01230,2.16e+10,1.87e+04,2.001,1.97,2.0,0.27,0.856
UGC01281,8.71e+08,1.57e+04,4.958,2.00,5.0,0.50,0.973
UGC02023,1.51e+09,9.84e+05,100.000,2.00,10000.0,0.05,0.895
UGC02259,3.38e+09,9.41e+03,4.330,1.00,10000.0,0.05,0.884
UGC02455,4.82e+09,1.00e+02,100.000,2.00,0.1,0.50,-5.444
UGC02487,5.47e+11,2.15e+05,17.723,2.00,17.7,0.37,0.824
UGC02885,5.80e+11,3.97e+05,93.531,2.00,93.5,0.50,0.288
