星系名称,总重子质量(M⊙),η((km/s)²),r0(kpc),alpha,r1(kpc),beta,拟合优度R²
UGC04499,4.07e+09,1.48e+04,4.951,2.00,5.0,0.50,0.953
UGC05005,1.46e+10,3.65e+04,18.245,2.00,18.2,0.50,0.987
UGC05414,1.65e+09,1.98e+05,100.000,1.41,10000.0,0.05,0.986
UGC05716,2.84e+09,1.58e+04,3.957,2.00,4.0,0.50,0.964
UGC05721,1.49e+09,8.28e+03,0.268,2.00,0.3,0.12,0.661
UGC05750,1.10e+10,1.63e+04,8.689,2.00,8.7,0.50,0.970
UGC05764,4.29e+08,8.36e+03,0.386,2.00,0.4,0.50,0.433
UGC05829,2.58e+09,7.32e+04,100.000,1.16,10000.0,0.05,0.993
UGC05918,5.52e+08,4.48e+03,1.878,2.00,1.9,0.36,0.988
UGC05986,6.85e+09,3.16e+04,2.804,2.00,2.8,0.50,0.900
UGC05999,1.25e+10,2.58e+04,6.939,2.00,6.9,0.50,0.842
UGC06399,4.23e+09,2.27e+04,4.893,2.00,4.9,0.50,0.988
UGC06446,3.71e+09,1.84e+04,2.420,2.00,2.4,0.50,0.977
UGC06667,2.14e+09,2.30e+04,3.076,2.00,3.1,0.50,0.975
UGC06786,8.33e+10,1.58e+05,18.304,2.00,18.3,0.50,0.356
UGC06818,2.67e+09,3.22e+05,53.433,2.00,53.4,0.50,0.826
UGC06917,1.21e+10,1.51e+04,11.286,1.00,10000.0,0.05,0.907
UGC06923,4.37e+09,1.55e+04,4.666,2.00,4.7,0.50,0.728
UGC06930,1.65e+10,3.40e+05,100.000,1.00,0.1,0.37,0.909
UGC06983,1.17e+10,2.94e+04,4.070,2.00,4.1,0.50,0.885
UGC07089,5.89e+09,2.38e+05,64.213,2.00,64.2,0.50,0.988
UGC07125,8.13e+09,3.93e+03,7.848,1.00,0.1,0.05,0.856
UGC07151,3.95e+09,9.31e+03,8.873,1.04,8.9,0.50,0.953
UGC07261,3.29e+09,1.86e+04,5.440,2.00,5.4,0.50,0.724
UGC07323,6.13e+09,2.91e+05,51.120,2.00,51.1,0.50,0.990
UGC07399,2.30e+09,1.66e+04,4.638,1.00,10000.0,0.05,0.971
UGC07524,6.62e+09,1.44e+04,3.429,2.00,3.4,0.50,0.975
UGC07559,3.00e+08,6.20e+03,4.904,2.00,4.9,0.50,0.962
UGC07577,8.80e+07,3.22e+04,100.000,2.00,10000.0,0.05,0.845
UGC07603,6.98e+08,5.67e+03,2.923,1.00,10000.0,0.05,0.844
UGC07608,9.40e+08,2.26e+04,7.548,1.57,7.5,0.50,0.974
UGC07690,1.41e+09,6.16e+03,1.668,2.00,1.7,0.50,0.821
UGC07866,2.55e+08,5.60e+04,100.000,1.20,10000.0,0.05,0.990
UGC08286,2.70e+09,1.65e+04,7.932,1.04,7.9,0.50,0.953
UGC08490,2.24e+09,1.79e+04,2.156,2.00,2.2,0.50,0.972
UGC08550,9.07e+08,1.02e+04,2.418,2.00,2.4,0.50,0.964
UGC10310,3.98e+09,4.40e+03,1.328,1.00,0.1,0.05,0.815
UGC11455,4.35e+11,1.43e+05,100.000,2.00,10000.0,0.05,0.679
UGC11820,5.67e+09,2.65e+05,100.000,1.00,0.1,0.38,0.966
UGC12506,2.37e+11,1.19e+05,7.797,2.00,7.8,0.50,0.692
UGC12632,4.22e+09,7.57e+03,5.778,1.00,14.0,0.50,0.944
UGC12732,8.60e+09,1.33e+04,14.715,1.00,10000.0,0.05,0.993
UGCA281,9.48e+07,1.85e+03,2.956,1.00,10000.0,0.05,0.977
UGCA442,5.79e+08,1.18e+04,3.478,2.00,3.5,0.50,0.988
UGCA444,1.33e+08,2.04e+04,19.371,1.34,8479.0,0.05,0.979
